ligand,receptor,TF
None,TNFRSF17,STAT4
None,TNFRSF17,JUN
None,TNFRSF17,MAF
None,TNFRSF17,ID3
None,TNFRSF17,STAT2
None,TNFRSF17,TRAF6
None,TNFRSF17,POU2F1
None,TNFRSF17,NFKB2
None,TNFRSF17,TNFAIP3
None,TNFRSF17,TP53
None,TNFRSF17,CREB1
None,TNFRSF17,CREM
None,TNFRSF17,ATRX
None,TNFRSF17,NKX2-5
None,TNFRSF17,NFKB1
None,TNFRSF17,NFKBIA
None,TNFRSF17,FOXF1
None,TNFRSF17,CREBBP
None,TNFRSF17,MECP2
None,TNFRSF17,ESR1
None,TNFRSF17,XBP1
None,TNFRSF17,BACH2
None,TNFRSF17,EGF
None,TNFRSF17,SUZ12
None,TNFRSF17,RAD51
None,TNFRSF17,IRF4
None,TNFRSF17,NFKBIB
None,TNFRSF17,FOXO3
None,TNFRSF17,CIITA
None,TNFRSF17,GTF2A1
None,TNFRSF17,CDCA7L
None,TNFRSF17,NF1
None,TNFRSF17,STAT1
None,TNFRSF17,MEF2C
None,TNFRSF17,IRF7
None,TNFRSF17,EP300
None,TNFRSF17,PREB
None,TNFRSF17,ATM
None,TNFRSF17,IKZF1
None,TNFRSF17,DNMT3A
None,TNFRSF17,DNMT3L
None,TNFRSF17,RELB
None,TNFRSF17,POU2AF1
None,TNFRSF17,IRF5
None,TNFRSF17,STAT3
None,TNFRSF17,DNMT1
None,TNFRSF17,IKBKB
None,TNFRSF17,PGR
None,TNFRSF17,REL
None,TNFRSF17,RELA
None,TNFRSF17,CTNNB1
None,TNFRSF17,THRB
None,TNFRSF17,MYC
None,TNFRSF17,POU2F2
None,TNFRSF17,LHX2
None,TNFRSF17,SPIB
None,TNFRSF17,BCL6
None,TNFRSF17,EZH2
None,TNFRSF17,PRDM14
None,TNFRSF17,HIF1A
None,TNFRSF17,PRDM1
None,TNFRSF17,PAX5
None,KCNQ1,ZFHX3
None,KCNQ1,NR3C2
None,KCNQ1,MAF
None,KCNQ1,ZIC3
None,KCNQ1,HHEX
None,KCNQ1,TBX20
None,KCNQ1,FOXI1
None,KCNQ1,CRTC1
None,KCNQ1,FOXH1
None,KCNQ1,SCD5
None,KCNQ1,CTCFL
None,KCNQ1,POU2F3
None,KCNQ1,NANOG
None,KCNQ1,CTCF
None,KCNQ1,KLF14
None,KCNQ1,MECP2
None,KCNQ1,ESR1
None,KCNQ1,SUZ12
None,KCNQ1,KLF4
None,KCNQ1,GLI3
None,KCNQ1,SP4
None,KCNQ1,MEF2C
None,KCNQ1,KCNIP3
None,KCNQ1,GATA5
None,KCNQ1,PITX2
None,KCNQ1,DNMT3L
None,KCNQ1,HOXC11
None,KCNQ1,POU3F4
None,KCNQ1,PDX1
None,KCNQ1,NEUROD1
None,KCNQ1,TBX5
None,KCNQ1,TBX3
None,KCNQ1,GATA4
None,KCNQ1,MYC
None,KCNQ1,HNF1B
None,KCNQ1,RFX3
None,KCNQ1,TCF7L2
None,KCNQ1,PPARG
None,KCNQ1,FOXM1
None,KCNQ1,PA2G4
None,KCNQ1,PAX4
None,KCNQ1,SRF
None,KCNQ1,SHOX2
None,KCNQ1,WDR5
None,KCNQ1,TP53
None,KCNQ1,CREB1
None,KCNQ1,TFAP2B
None,KCNQ1,NKX2-5
None,KCNQ1,YY1
None,KCNQ1,GATA6
None,KCNQ1,PLAG1
None,KCNQ1,TP73
None,KCNQ1,RREB1
None,KCNQ1,HNF1A
None,KCNQ1,HNF4A
None,KCNQ1,MYOD1
None,KCNQ1,POU5F1
None,KCNQ1,PROX1
None,KCNQ1,CBX7
None,KCNQ1,HMGA2
None,KCNQ1,EHMT2
None,KCNQ1,DEDD
None,KCNQ1,IRF8
None,KCNQ1,SOX2
None,KCNQ1,PLAGL1
None,KCNQ1,IKZF1
None,KCNQ1,DNMT3A
None,KCNQ1,DLX5
None,KCNQ1,ISL1
None,KCNQ1,DNMT1
None,KCNQ1,CEBPA
None,KCNQ1,L3MBTL1
None,KCNQ1,IKBKB
None,KCNQ1,AR
None,KCNQ1,SPI1
None,KCNQ1,SMARCA4
None,KCNQ1,HDAC4
None,KCNQ1,FUS
None,KCNQ1,BCL11A
None,KCNQ1,GLIS3
None,KCNQ1,BHLHE41
None,KCNQ1,EZH2
None,TNFRSF1A,STAT4
None,TNFRSF1A,AIRE
None,TNFRSF1A,JUN
None,TNFRSF1A,NKX2-3
None,TNFRSF1A,IFI16
None,TNFRSF1A,FOSL1
None,TNFRSF1A,JUND
None,TNFRSF1A,MAF
None,TNFRSF1A,RUNX2
None,TNFRSF1A,DDX5
None,TNFRSF1A,NR3C1
None,TNFRSF1A,ZFP36
None,TNFRSF1A,TBX21
None,TNFRSF1A,PHOX2B
None,TNFRSF1A,HIPK2
None,TNFRSF1A,CITED2
None,TNFRSF1A,STAT2
None,TNFRSF1A,GATA1
None,TNFRSF1A,HOXA5
None,TNFRSF1A,ATF2
None,TNFRSF1A,NFE2L2
None,TNFRSF1A,FOS
None,TNFRSF1A,MXI1
None,TNFRSF1A,TRAF6
None,TNFRSF1A,BATF
None,TNFRSF1A,FOXP3
None,TNFRSF1A,POU2F1
None,TNFRSF1A,NFKB2
None,TNFRSF1A,IRF2
None,TNFRSF1A,TNFAIP3
None,TNFRSF1A,IRF9
None,TNFRSF1A,PTTG1
None,TNFRSF1A,TP53
None,TNFRSF1A,E4F1
None,TNFRSF1A,CREB1
None,TNFRSF1A,TBP
None,TNFRSF1A,HDAC3
None,TNFRSF1A,YY1
None,TNFRSF1A,BRCA2
None,TNFRSF1A,AHR
None,TNFRSF1A,NFKB1
None,TNFRSF1A,MDM4
None,TNFRSF1A,NFKBIA
None,TNFRSF1A,BDP1
None,TNFRSF1A,SP1
None,TNFRSF1A,SNAI1
None,TNFRSF1A,SMAD3
None,TNFRSF1A,DAXX
None,TNFRSF1A,RORC
None,TNFRSF1A,TP73
None,TNFRSF1A,JUNB
None,TNFRSF1A,SMAD2
None,TNFRSF1A,TAF1
None,TNFRSF1A,ATF3
None,TNFRSF1A,NCOR1
None,TNFRSF1A,CREBBP
None,TNFRSF1A,ESR1
None,TNFRSF1A,PARP1
None,TNFRSF1A,XBP1
None,TNFRSF1A,IRF1
None,TNFRSF1A,ERCC2
None,TNFRSF1A,MYOD1
None,TNFRSF1A,EGF
None,TNFRSF1A,POU5F1
None,TNFRSF1A,BARD1
None,TNFRSF1A,VDR
None,TNFRSF1A,AATF
None,TNFRSF1A,ATOH1
None,TNFRSF1A,ATF4
None,TNFRSF1A,PPARA
None,TNFRSF1A,SUZ12
None,TNFRSF1A,NFATC1
None,TNFRSF1A,RAD51
None,TNFRSF1A,IRF4
None,TNFRSF1A,NFKBIB
None,TNFRSF1A,GATA3
None,TNFRSF1A,STAT6
None,TNFRSF1A,STAT5A
None,TNFRSF1A,KLF4
None,TNFRSF1A,FOXO3
None,TNFRSF1A,NFATC2
None,TNFRSF1A,CIITA
None,TNFRSF1A,ID2
None,TNFRSF1A,SMAD7
None,TNFRSF1A,KAT5
None,TNFRSF1A,DEDD
None,TNFRSF1A,NF1
None,TNFRSF1A,STAT1
None,TNFRSF1A,IRF8
None,TNFRSF1A,STAT5B
None,TNFRSF1A,TCF3
None,TNFRSF1A,EIF2AK2
