Receptor,TF,Source
IL22RA1,STAT5B,CellCall
IL22RA1,STAT6,CellCall
IL22RA1,IRF9,CellCall
ADCYAP1R1,ATF4,CellCall
ADCYAP1R1,ATF2,CellCall
ADCYAP1R1,ATF6B,CellCall
ADCYAP1R1,PDX1,CellCall
ADCYAP1R1,PER1,CellCall
ADCYAP1R1,PER2,CellCall
VIPR2,CREB1,CellCall
VIPR2,CREBBP,CellCall
VIPR2,FOS,CellCall
VIPR2,GLI1,CellCall
VIPR2,GLI3,CellCall
VIPR2,JUN,CellCall
VIPR2,NFATC1,CellCall
VIPR2,NFKB1,CellCall
VIPR2,PPARA,CellCall
VIPR2,SOX9,CellCall
VIPR2,CREB5,CellCall
VIPR2,CREB3,CellCall
VIPR2,CREB3L2,CellCall
VIPR2,CREB3L3,CellCall
VIPR2,CREB3L1,CellCall
VIPR2,CREB3L4,CellCall
RXFP3,FOS,CellCall
RXFP3,JUN,CellCall
RXFP3,NFKB1,CellCall
RXFP3,NFKBIA,CellCall
RXFP3,RELA,CellCall
CNTFR,MYC,CellCall
CNTFR,STAT1,CellCall
CNTFR,STAT2,CellCall
CNTFR,STAT3,CellCall
CNTFR,STAT4,CellCall
CNTFR,STAT5A,CellCall
CNTFR,STAT5B,CellCall
CNTFR,STAT6,CellCall
CNTFR,IRF9,CellCall
EGFR,MYC,CellCall
EGFR,STAT2,CellCall
EGFR,STAT4,CellCall
EGFR,STAT6,CellCall
EGFR,IRF9,CellCall
IL6R,MYC,CellCall
IL6R,STAT1,CellCall
IL6R,STAT2,CellCall
IL6R,STAT3,CellCall
IL6R,STAT4,CellCall
IL6R,STAT5A,CellCall
IL6R,STAT5B,CellCall
IL6R,STAT6,CellCall
IL6R,IRF9,CellCall
IL6ST,MYC,CellCall
IL6ST,STAT1,CellCall
IL6ST,STAT2,CellCall
IL6ST,STAT3,CellCall
IL6ST,STAT4,CellCall
IL6ST,STAT5A,CellCall
IL6ST,STAT5B,CellCall
IL6ST,STAT6,CellCall
IL6ST,IRF9,CellCall
LIFR,MYC,CellCall
LIFR,STAT1,CellCall
LIFR,STAT2,CellCall
LIFR,STAT3,CellCall
LIFR,STAT4,CellCall
LIFR,STAT5A,CellCall
LIFR,STAT5B,CellCall
LIFR,STAT6,CellCall
LIFR,IRF9,CellCall
CRHR1,ATF4,CellCall
CRHR1,CREB1,CellCall
CRHR1,ATF2,CellCall
CRHR1,ATF6B,CellCall
CRHR1,NR4A1,CellCall
CRHR1,CREB5,CellCall
CRHR1,CREB3,CellCall
CRHR1,CREB3L2,CellCall
CRHR1,CREB3L3,CellCall
CRHR1,CREB3L1,CellCall
