Receptor,TF,Source
LAMP1,IRF7,scMLnet
LAMP1,EP300,scMLnet
LAMP1,LEF1,scMLnet
LAMP1,EOMES,scMLnet
LAMP1,USF1,scMLnet
LAMP1,STAT3,scMLnet
LAMP1,HDAC9,scMLnet
LAMP1,AR,scMLnet
LAMP1,SPI1,scMLnet
LAMP1,SMARCA4,scMLnet
LAMP1,NELFCD,scMLnet
LAMP1,KAT2B,scMLnet
LAMP1,TFEB,scMLnet
LAMP1,DDIT3,scMLnet
LAMP1,TIAL1,scMLnet
LAMP1,RBL1,scMLnet
LAMP1,CREB3L1,scMLnet
LAMP1,CEBPZ,scMLnet
KCND2,PA2G4,scMLnet
KCND2,HAND2,scMLnet
KCND2,FOS,scMLnet
KCND2,SRF,scMLnet
KCND2,TBX20,scMLnet
KCND2,HDAC5,scMLnet
KCND2,PIAS3,scMLnet
KCND2,SCD5,scMLnet
KCND2,CREB1,scMLnet
KCND2,NKX2-5,scMLnet
KCND2,GATA6,scMLnet
KCND2,EVX1,scMLnet
KCND2,HEY2,scMLnet
KCND2,ZIC1,scMLnet
KCND2,MYOG,scMLnet
KCND2,MYOD1,scMLnet
KCND2,PROX1,scMLnet
KCND2,EHMT2,scMLnet
KCND2,MEF2C,scMLnet
KCND2,MYOCD,scMLnet
KCND2,NFATC3,scMLnet
KCND2,KCNIP3,scMLnet
KCND2,GATA5,scMLnet
KCND2,LMO3,scMLnet
KCND2,FOXP2,scMLnet
KCND2,ISL1,scMLnet
KCND2,TBX5,scMLnet
KCND2,HDAC4,scMLnet
KCND2,GATA4,scMLnet
KCND2,MYC,scMLnet
KCND2,MEF2A,scMLnet
KCND2,ASCL1,scMLnet
MRGPRX2,TFAP2A,scMLnet
MC2R,AIRE,scMLnet
MC2R,NR3C2,scMLnet
MC2R,NR3C1,scMLnet
MC2R,MCM5,scMLnet
MC2R,MITF,scMLnet
MC2R,LHX4,scMLnet
MC2R,CREM,scMLnet
MC2R,NFKBIA,scMLnet
MC2R,GATA6,scMLnet
MC2R,JDP2,scMLnet
MC2R,MCM2,scMLnet
MC2R,WT1,scMLnet
MC2R,NF1,scMLnet
MC2R,NCOA1,scMLnet
MC2R,FOXO1,scMLnet
MC2R,STAT3,scMLnet
MC2R,AR,scMLnet
MC2R,NR0B1,scMLnet
MC2R,MEN1,scMLnet
MC2R,PER2,scMLnet
MC2R,GATA4,scMLnet
MC2R,ARNTL,scMLnet
MC2R,PPARG,scMLnet
F3,JUN,scMLnet
F3,MAFA,scMLnet
F3,ARNT,scMLnet
F3,NF1,scMLnet
F3,JUND,scMLnet
F3,STAT1,scMLnet
F3,NR3C1,scMLnet
F3,STAT5B,scMLnet
F3,SOX2,scMLnet
F3,GATA1,scMLnet
F3,NFATC3,scMLnet
F3,SSB,scMLnet
F3,SOX9,scMLnet
F3,FOS,scMLnet
F3,IRF3,scMLnet
F3,TRAF6,scMLnet
F3,FOXP3,scMLnet
F3,FOXO1,scMLnet
F3,USF1,scMLnet
F3,TSG101,scMLnet
F3,ETS1,scMLnet
F3,TP53,scMLnet
F3,STAT3,scMLnet
F3,ISL1,scMLnet
F3,NONO,scMLnet
F3,IKBKB,scMLnet
F3,TFAP2A,scMLnet
F3,NR1I2,scMLnet
F3,PGR,scMLnet
F3,REL,scMLnet
F3,AHR,scMLnet
F3,RELA,scMLnet
F3,NFKBIA,scMLnet
F3,NR4A1,scMLnet
F3,SP1,scMLnet
F3,BRCA1,scMLnet
F3,AR,scMLnet
F3,TBX5,scMLnet
F3,TBX3,scMLnet
F3,SIRT1,scMLnet
F3,NAB2,scMLnet
F3,SMAD2,scMLnet
F3,PER2,scMLnet
F3,MYC,scMLnet
F3,ESR1,scMLnet
F3,EGR1,scMLnet
F3,NPAS2,scMLnet
F3,EGF,scMLnet
F3,PTF1A,scMLnet
F3,VDR,scMLnet
F3,ARNTL,scMLnet
F3,IRF6,scMLnet
F3,RARA,scMLnet
F3,HIF1A,scMLnet
F3,PPARA,scMLnet
F3,PML,scMLnet
F3,TWIST1,scMLnet
F3,STAT5A,scMLnet
F3,KLF2,scMLnet
F3,PPARG,scMLnet
F3,KLF4,scMLnet
F3,FHL2,scMLnet
F3,RBPJ,scMLnet
UNC5B,NKX2-3,scMLnet
UNC5B,ZFHX3,scMLnet
UNC5B,MYCN,scMLnet
UNC5B,NKX2-1,scMLnet
UNC5B,HOXA5,scMLnet
UNC5B,PCBD1,scMLnet
UNC5B,TP53,scMLnet
UNC5B,EVX1,scMLnet
UNC5B,HEY2,scMLnet
UNC5B,ZIC1,scMLnet
UNC5B,GLI2,scMLnet
UNC5B,EGF,scMLnet
UNC5B,ETV7,scMLnet
UNC5B,LMO4,scMLnet
UNC5B,HLX,scMLnet
UNC5B,GATA3,scMLnet
UNC5B,NR2F2,scMLnet
UNC5B,EGR2,scMLnet
UNC5B,GBX2,scMLnet
UNC5B,PAX6,scMLnet
UNC5B,GLI3,scMLnet
UNC5B,TRPS1,scMLnet
UNC5B,SATB2,scMLnet
UNC5B,PITX1,scMLnet
UNC5B,HEY1,scMLnet
UNC5B,MDM2,scMLnet
UNC5B,ETS1,scMLnet
UNC5B,ISL1,scMLnet
UNC5B,PAX1,scMLnet
UNC5B,ZEB2,scMLnet
UNC5B,NOTCH3,scMLnet
UNC5B,GLI1,scMLnet
UNC5B,GATA4,scMLnet
UNC5B,EZH2,scMLnet
UNC5B,NR4A2,scMLnet
UNC5B,PRDM1,scMLnet
UNC5B,GATA2,scMLnet
PTPRB,HDGF,scMLnet
PTPRB,TP53,scMLnet
PTPRB,E2F7,scMLnet
PTPRB,E2F8,scMLnet
PTPRB,EGF,scMLnet
PTPRB,EPAS1,scMLnet
PTPRB,STAT6,scMLnet
PTPRB,LMO2,scMLnet
PTPRB,ABL1,scMLnet
PTPRB,STAT3,scMLnet
PTPRB,IKBKB,scMLnet
PTPRB,CTNNB1,scMLnet
PTPRB,TFEB,scMLnet
PTPRB,PAWR,scMLnet
PTPRU,LMX1B,scMLnet
PTPRU,PAX2,scMLnet
PTPRU,FOXQ1,scMLnet
PTPRU,WT1,scMLnet
PTPRU,STAT1,scMLnet
PTPRU,STAT5B,scMLnet
PTPRU,KCNIP3,scMLnet
PTPRU,SIM2,scMLnet
PTPRU,ABL1,scMLnet
PTPRU,SCAND1,scMLnet
PTPRU,CTNNB1,scMLnet
PTPRU,MYC,scMLnet
PTPRU,EGF,scMLnet
PTPRU,STAT5A,scMLnet
PTPRU,EHF,scMLnet
PTPRU,LEF1,scMLnet
PTPRU,STAT3,scMLnet
PTPRU,HSF4,scMLnet
PTPRU,IKBKB,scMLnet
PTPRU,TFAP2A,scMLnet
PTPRU,POU3F1,scMLnet
PTPRU,FOXC2,scMLnet
PTPRU,FOXF2,scMLnet
PTPRU,NR4A2,scMLnet
PTPRU,NR2C2,scMLnet
CCKBR,ZIC3,scMLnet
CCKBR,GATA1,scMLnet
CCKBR,FOS,scMLnet
CCKBR,TRAF6,scMLnet
CCKBR,PTTG1,scMLnet
CCKBR,CREB1,scMLnet
CCKBR,EGF,scMLnet
CCKBR,PTF1A,scMLnet
CCKBR,NR1H3,scMLnet
CCKBR,ZNF423,scMLnet
CCKBR,NEUROG3,scMLnet
CCKBR,NF1,scMLnet
CCKBR,PAX6,scMLnet
CCKBR,SOX2,scMLnet
CCKBR,LMO3,scMLnet
CCKBR,MED1,scMLnet
CCKBR,STAT3,scMLnet
CCKBR,CDX2,scMLnet
CCKBR,DNMT1,scMLnet
CCKBR,NR4A1,scMLnet
CCKBR,NR1H2,scMLnet
CCKBR,ZIC2,scMLnet
CCKBR,BHLHE41,scMLnet
CCKBR,GCM1,scMLnet
OPRL1,JUN,scMLnet
OPRL1,NR3C2,scMLnet
OPRL1,FOSL1,scMLnet
OPRL1,NR3C1,scMLnet
OPRL1,FOS,scMLnet
OPRL1,SPEN,scMLnet
OPRL1,CREB1,scMLnet
OPRL1,TBP,scMLnet
OPRL1,ESR1,scMLnet
OPRL1,EGF,scMLnet
OPRL1,SF1,scMLnet
OPRL1,FOSB,scMLnet
OPRL1,MSC,scMLnet
OPRL1,SOX10,scMLnet
OPRL1,STAT3,scMLnet
OPRL1,NR1I2,scMLnet
OPRL1,RELA,scMLnet
OPRL1,MEN1,scMLnet
OPRL1,CEBPD,scMLnet
OPRL1,CTNNB1,scMLnet
OPRL1,EGR1,scMLnet
OPRL1,HIF1A,scMLnet
KIR2DL1,NR3C2,scMLnet
KIR2DL1,NR3C1,scMLnet
KIR2DL1,STAT5B,scMLnet
KIR2DL1,TBX21,scMLnet
KIR2DL1,RUNX3,scMLnet
KIR2DL1,EOMES,scMLnet
KIR2DL1,FOXP3,scMLnet
KIR2DL1,TFAP2A,scMLnet
KIR2DL1,SP3,scMLnet
KIR2DL1,NR0B2,scMLnet
KIR2DL1,CTNNB1,scMLnet
KIR2DL1,HIF1A,scMLnet
KIR2DL1,ETV7,scMLnet
KIR2DL1,STAT5A,scMLnet
HFE2,MEF2D,scMLnet
HFE2,ID1,scMLnet
HFE2,EP300,scMLnet
HFE2,USF2,scMLnet
HFE2,TP53,scMLnet
HFE2,STAT3,scMLnet
HFE2,CEBPA,scMLnet
HFE2,TFAP2A,scMLnet
HFE2,SMAD1,scMLnet
HFE2,SMAD2,scMLnet
HFE2,CTNNB1,scMLnet
HFE2,HNF4A,scMLnet
HFE2,SMAD4,scMLnet
HFE2,EPAS1,scMLnet
HFE2,SMAD7,scMLnet
EPHA3,CREB3L4,scMLnet
EPHA3,NR3C1,scMLnet
EPHA3,APC,scMLnet
EPHA3,STAT2,scMLnet
EPHA3,ZIC3,scMLnet
EPHA3,HAND2,scMLnet
EPHA3,PAX3,scMLnet
EPHA3,SPEN,scMLnet
EPHA3,POU2F1,scMLnet
EPHA3,HIC1,scMLnet
EPHA3,ATRX,scMLnet
EPHA3,TRIB3,scMLnet
EPHA3,SMAD2,scMLnet
EPHA3,DLX3,scMLnet
EPHA3,ZIC1,scMLnet
EPHA3,MYF6,scMLnet
EPHA3,ESR1,scMLnet
EPHA3,PBX1,scMLnet
EPHA3,RAD51,scMLnet
EPHA3,GATA3,scMLnet
EPHA3,NR2F2,scMLnet
EPHA3,KLF4,scMLnet
EPHA3,ARID1A,scMLnet
EPHA3,PAX6,scMLnet
EPHA3,GLI3,scMLnet
EPHA3,ASH1L,scMLnet
EPHA3,STAT1,scMLnet
EPHA3,SATB2,scMLnet
EPHA3,STAT5B,scMLnet
EPHA3,ID4,scMLnet
EPHA3,ATM,scMLnet
EPHA3,MTA2,scMLnet
EPHA3,MSX1,scMLnet
EPHA3,WHSC1,scMLnet
EPHA3,ATF6,scMLnet
EPHA3,NEUROD1,scMLnet
EPHA3,LDB1,scMLnet
EPHA3,SPDEF,scMLnet
EPHA3,RFXANK,scMLnet
EPHA3,CTNNB1,scMLnet
EPHA3,GATA4,scMLnet
EPHA3,MYC,scMLnet
EPHA3,EGR1,scMLnet
EPHA3,HMGB2,scMLnet
EPHA3,LHX2,scMLnet
EPHA3,ZIC2,scMLnet
EPHA3,MEF2A,scMLnet
EPHA3,SMAD4,scMLnet
EPHA3,CREB3,scMLnet
EPHA3,ASCL1,scMLnet
EPHA3,BRD7,scMLnet
EPHA3,MTA1,scMLnet
EPHA3,TCF7L2,scMLnet
EPHA3,PPARG,scMLnet
EPHA3,FOXM1,scMLnet
EPHA3,STAT4,scMLnet
EPHA3,JUN,scMLnet
EPHA3,SETBP1,scMLnet
EPHA3,NKX2-1,scMLnet
EPHA3,CITED2,scMLnet
EPHA3,TRRAP,scMLnet
EPHA3,MTA3,scMLnet
EPHA3,FOS,scMLnet
EPHA3,SRF,scMLnet
EPHA3,BPTF,scMLnet
EPHA3,TP53,scMLnet
EPHA3,CREB1,scMLnet
EPHA3,FOXP1,scMLnet
EPHA3,BRCA2,scMLnet
EPHA3,NR4A3,scMLnet
EPHA3,CUX1,scMLnet
EPHA3,HNF4A,scMLnet
EPHA3,CREBBP,scMLnet
EPHA3,PARP1,scMLnet
EPHA3,MYOG,scMLnet
EPHA3,MYOD1,scMLnet
EPHA3,EGF,scMLnet
EPHA3,NR2F1,scMLnet
EPHA3,MZF1,scMLnet
EPHA3,STAT6,scMLnet
EPHA3,STAT5A,scMLnet
EPHA3,EGR2,scMLnet
EPHA3,TRIP6,scMLnet
EPHA3,SMAD7,scMLnet
EPHA3,KAT5,scMLnet
EPHA3,RORA,scMLnet
EPHA3,NF1,scMLnet
EPHA3,SATB1,scMLnet
EPHA3,MAZ,scMLnet
EPHA3,SOX2,scMLnet
EPHA3,EP300,scMLnet
EPHA3,PREB,scMLnet
EPHA3,FOXP2,scMLnet
EPHA3,USF1,scMLnet
EPHA3,HNF4G,scMLnet
EPHA3,STAT3,scMLnet
EPHA3,ISL1,scMLnet
EPHA3,FOXE1,scMLnet
EPHA3,RUNX1T1,scMLnet
EPHA3,NR4A1,scMLnet
EPHA3,AR,scMLnet
EPHA3,NOTCH3,scMLnet
EPHA3,GLI1,scMLnet
EPHA3,NPM1,scMLnet
EPHA3,ELF2,scMLnet
EPHA3,IRF6,scMLnet
EPHA3,EZH2,scMLnet
EPHA3,NR4A2,scMLnet
EPHA3,CREB3L1,scMLnet
EPHA3,CEBPZ,scMLnet
EPHA3,ENO1,scMLnet
EPHA3,FOXG1,scMLnet
EPHA3,POU3F2,scMLnet
HTR7,JUN,scMLnet
HTR7,NKX2-3,scMLnet
HTR7,NR3C2,scMLnet
HTR7,NR3C1,scMLnet
HTR7,PHOX2B,scMLnet
HTR7,LMX1B,scMLnet
HTR7,NKX2-1,scMLnet
HTR7,SOX9,scMLnet
HTR7,FOS,scMLnet
HTR7,MITF,scMLnet
HTR7,CREB1,scMLnet
HTR7,RB1,scMLnet
HTR7,PAX2,scMLnet
HTR7,NKX2-5,scMLnet
HTR7,NFKB1,scMLnet
HTR7,HDAC2,scMLnet
HTR7,HNF4A,scMLnet
HTR7,MECP2,scMLnet
HTR7,ESR1,scMLnet
HTR7,NCOA3,scMLnet
HTR7,EGF,scMLnet
HTR7,WT1,scMLnet
HTR7,PAX6,scMLnet
HTR7,CDC5L,scMLnet
HTR7,EP300,scMLnet
HTR7,LEF1,scMLnet
HTR7,NCOA1,scMLnet
HTR7,ESR2,scMLnet
HTR7,FOXO1,scMLnet
HTR7,DEAF1,scMLnet
HTR7,STAT3,scMLnet
HTR7,TFAP2A,scMLnet
HTR7,NEUROD1,scMLnet
HTR7,LDB1,scMLnet
HTR7,PGR,scMLnet
HTR7,NR4A1,scMLnet
HTR7,AR,scMLnet
HTR7,SMARCA4,scMLnet
HTR7,NOTCH3,scMLnet
HTR7,PER2,scMLnet
HTR7,CTNNB1,scMLnet
HTR7,EGR1,scMLnet
HTR7,SMAD4,scMLnet
HTR7,HIF1A,scMLnet
HTR7,NPAS3,scMLnet
HTR7,NKX2-2,scMLnet
HTR7,NFKBIZ,scMLnet
IL21R,RORA,scMLnet
IL21R,JUN,scMLnet
IL21R,MAF,scMLnet
IL21R,SPIC,scMLnet
IL21R,IRF8,scMLnet
IL21R,TCF3,scMLnet
IL21R,TBX21,scMLnet
IL21R,HIPK2,scMLnet
IL21R,TCF4,scMLnet
IL21R,RUNX3,scMLnet
IL21R,IRF7,scMLnet
IL21R,EP300,scMLnet
IL21R,IKZF1,scMLnet
IL21R,EOMES,scMLnet
IL21R,RELB,scMLnet
IL21R,BATF,scMLnet
IL21R,FOXP3,scMLnet
IL21R,FOXO1,scMLnet
IL21R,POU2AF1,scMLnet
IL21R,SIX1,scMLnet
IL21R,IRF2,scMLnet
IL21R,IRF5,scMLnet
IL21R,TNFAIP3,scMLnet
IL21R,ETS1,scMLnet
IL21R,TP53,scMLnet
IL21R,TCF12,scMLnet
IL21R,ZBTB16,scMLnet
IL21R,IKBKB,scMLnet
IL21R,SIRT2,scMLnet
IL21R,AHR,scMLnet
IL21R,NFKB1,scMLnet
IL21R,SPI1,scMLnet
IL21R,SIRT1,scMLnet
IL21R,RORC,scMLnet
IL21R,XBP1,scMLnet
IL21R,IRF1,scMLnet
IL21R,SPIB,scMLnet
IL21R,BACH2,scMLnet
IL21R,NELFCD,scMLnet
IL21R,BCL6,scMLnet
IL21R,EGF,scMLnet
IL21R,VDR,scMLnet
IL21R,RARA,scMLnet
IL21R,NFATC1,scMLnet
IL21R,FOXO4,scMLnet
IL21R,HLX,scMLnet
IL21R,PRDM1,scMLnet
IL21R,IRF4,scMLnet
IL21R,GATA3,scMLnet
IL21R,KLF2,scMLnet
IL21R,KLF4,scMLnet
IL21R,LMO2,scMLnet
IL21R,MYBL1,scMLnet
IL21R,EGR2,scMLnet
IL21R,NFATC2,scMLnet
IL21R,CIITA,scMLnet
IL21R,TRIP6,scMLnet
IL21R,PAX5,scMLnet
CAV1,ZFHX3,scMLnet
CAV1,NR3C2,scMLnet
CAV1,MAF,scMLnet
CAV1,RUNX2,scMLnet
CAV1,NR3C1,scMLnet
CAV1,YBX1,scMLnet
CAV1,STAT2,scMLnet
CAV1,ZIC3,scMLnet
CAV1,HOXA5,scMLnet
CAV1,PAX3,scMLnet
CAV1,TRAF6,scMLnet
CAV1,ONECUT1,scMLnet
CAV1,TSG101,scMLnet
CAV1,NONO,scMLnet
CAV1,PAX2,scMLnet
CAV1,AHR,scMLnet
CAV1,BDP1,scMLnet
CAV1,NR1H4,scMLnet
CAV1,SP1,scMLnet
CAV1,NR0B2,scMLnet
CAV1,NANOG,scMLnet
CAV1,SNAI1,scMLnet
CAV1,SMAD3,scMLnet
CAV1,FOXF1,scMLnet
CAV1,SMAD2,scMLnet
CAV1,ATF3,scMLnet
CAV1,ESR1,scMLnet
CAV1,SREBF1,scMLnet
CAV1,SF1,scMLnet
CAV1,NR1H3,scMLnet
CAV1,HMGA1,scMLnet
CAV1,EPAS1,scMLnet
CAV1,NFKBIB,scMLnet
CAV1,GATA3,scMLnet
CAV1,NR2F2,scMLnet
CAV1,KLF4,scMLnet
CAV1,WT1,scMLnet
CAV1,ID2,scMLnet
CAV1,STAT1,scMLnet
CAV1,STAT5B,scMLnet
CAV1,TCF3,scMLnet
CAV1,BMI1,scMLnet
CAV1,ATM,scMLnet
CAV1,RXRA,scMLnet
CAV1,TCF7,scMLnet
CAV1,PITX2,scMLnet
CAV1,WWTR1,scMLnet
CAV1,FOXO1,scMLnet
CAV1,ABL1,scMLnet
CAV1,HOXB4,scMLnet
CAV1,BARX2,scMLnet
CAV1,TCF12,scMLnet
CAV1,PAX1,scMLnet
CAV1,NR1I2,scMLnet
CAV1,REL,scMLnet
CAV1,ZEB2,scMLnet
CAV1,TBX5,scMLnet
CAV1,TBX3,scMLnet
CAV1,NR0B1,scMLnet
CAV1,TEF,scMLnet
CAV1,SIRT1,scMLnet
CAV1,CTNNB1,scMLnet
CAV1,MYC,scMLnet
CAV1,EGR1,scMLnet
CAV1,HDAC1,scMLnet
CAV1,MLXIPL,scMLnet
CAV1,MEF2A,scMLnet
CAV1,SMAD4,scMLnet
CAV1,FOXJ1,scMLnet
CAV1,EWSR1,scMLnet
CAV1,ONECUT2,scMLnet
CAV1,KLF2,scMLnet
CAV1,EN1,scMLnet
CAV1,PPARG,scMLnet
CAV1,FHL2,scMLnet
CAV1,FOXM1,scMLnet
CAV1,CTBP1,scMLnet
CAV1,JUN,scMLnet
CAV1,FOSL1,scMLnet
CAV1,MYCN,scMLnet
CAV1,FOXL1,scMLnet
CAV1,NKX2-1,scMLnet
CAV1,ID3,scMLnet
CAV1,ID1,scMLnet
CAV1,SOX9,scMLnet
CAV1,NFE2L2,scMLnet
CAV1,FOS,scMLnet
CAV1,SRF,scMLnet
CAV1,FOXP3,scMLnet
CAV1,XRCC6,scMLnet
CAV1,MITF,scMLnet
CAV1,TP53,scMLnet
CAV1,BIN1,scMLnet
CAV1,CREB1,scMLnet
CAV1,TBP,scMLnet
CAV1,RB1,scMLnet
CAV1,TFAP2B,scMLnet
CAV1,NKX2-5,scMLnet
CAV1,BRCA2,scMLnet
CAV1,ETV1,scMLnet
CAV1,GATA6,scMLnet
CAV1,CUX1,scMLnet
CAV1,HNF4A,scMLnet
CAV1,CREBBP,scMLnet
CAV1,XBP1,scMLnet
CAV1,MYOG,scMLnet
CAV1,MYOD1,scMLnet
CAV1,NCOA3,scMLnet
CAV1,EGF,scMLnet
CAV1,POU5F1,scMLnet
CAV1,VDR,scMLnet
CAV1,NR2F1,scMLnet
CAV1,PPARA,scMLnet
CAV1,MZF1,scMLnet
CAV1,TWIST2,scMLnet
CAV1,NFATC1,scMLnet
CAV1,TWIST1,scMLnet
CAV1,STAT5A,scMLnet
CAV1,ETV4,scMLnet
CAV1,FOXO3,scMLnet
CAV1,KLF5,scMLnet
CAV1,TRIP6,scMLnet
CAV1,HMGA2,scMLnet
CAV1,SMAD7,scMLnet
CAV1,GBX2,scMLnet
CAV1,TEAD4,scMLnet
CAV1,NF1,scMLnet
CAV1,E2F3,scMLnet
CAV1,MYOCD,scMLnet
CAV1,SOX2,scMLnet
CAV1,TCF4,scMLnet
CAV1,HIVEP2,scMLnet
CAV1,EP300,scMLnet
CAV1,LEF1,scMLnet
CAV1,TEAD1,scMLnet
CAV1,FOXA1,scMLnet
CAV1,GTF2I,scMLnet
CAV1,DNMT3A,scMLnet
CAV1,ESR2,scMLnet
CAV1,SIX1,scMLnet
CAV1,MDM2,scMLnet
CAV1,ETS1,scMLnet
CAV1,DLX5,scMLnet
CAV1,STAT3,scMLnet
CAV1,DNMT1,scMLnet
CAV1,CEBPA,scMLnet
CAV1,HSF4,scMLnet
CAV1,IKBKB,scMLnet
CAV1,TFAP2A,scMLnet
CAV1,RARB,scMLnet
CAV1,PGR,scMLnet
CAV1,SMAD1,scMLnet
CAV1,SIRT3,scMLnet
CAV1,RELA,scMLnet
CAV1,BRCA1,scMLnet
CAV1,FOXC2,scMLnet
CAV1,AR,scMLnet
CAV1,FOXC1,scMLnet
CAV1,NOTCH3,scMLnet
CAV1,GLI1,scMLnet
CAV1,ZEB1,scMLnet
CAV1,SNAI2,scMLnet
CAV1,SMURF2,scMLnet
CAV1,FOXF2,scMLnet
CAV1,PHB2,scMLnet
CAV1,EZH2,scMLnet
CAV1,HIF1A,scMLnet
CAV1,PML,scMLnet
CAV1,TBX2,scMLnet
CAV1,ENO1,scMLnet
CAV1,NKX2-2,scMLnet
CAV1,SREBF2,scMLnet
PLAUR,PPARD,scMLnet
PLAUR,STAT4,scMLnet
PLAUR,JUN,scMLnet
PLAUR,NR3C2,scMLnet
PLAUR,FOSL1,scMLnet
PLAUR,JUND,scMLnet
PLAUR,ZFP36,scMLnet
PLAUR,ZFP36L1,scMLnet
PLAUR,STAT2,scMLnet
PLAUR,ID1,scMLnet
PLAUR,PBX2,scMLnet
PLAUR,FOS,scMLnet
PLAUR,NFKB2,scMLnet
PLAUR,KLF9,scMLnet
PLAUR,TNFAIP3,scMLnet
PLAUR,TP53,scMLnet
PLAUR,FOSL2,scMLnet
PLAUR,MYBL2,scMLnet
PLAUR,KLF1,scMLnet
PLAUR,NFKB1,scMLnet
PLAUR,NFKBIA,scMLnet
PLAUR,SP1,scMLnet
PLAUR,KLF7,scMLnet
PLAUR,NANOG,scMLnet
PLAUR,SNAI1,scMLnet
PLAUR,SMAD3,scMLnet
PLAUR,JUNB,scMLnet
PLAUR,SMAD2,scMLnet
PLAUR,ATF3,scMLnet
PLAUR,HNF4A,scMLnet
PLAUR,ESR1,scMLnet
PLAUR,EGF,scMLnet
PLAUR,POU5F1,scMLnet
PLAUR,PTF1A,scMLnet
PLAUR,FOSB,scMLnet
PLAUR,LIN28A,scMLnet
PLAUR,RAD51,scMLnet
PLAUR,TWIST1,scMLnet
PLAUR,STAT5A,scMLnet
PLAUR,ETV4,scMLnet
PLAUR,KLF4,scMLnet
PLAUR,FOXO3,scMLnet
PLAUR,CDC5L,scMLnet
PLAUR,STAT1,scMLnet
PLAUR,STAT5B,scMLnet
PLAUR,TCF3,scMLnet
PLAUR,SOX2,scMLnet
PLAUR,BMI1,scMLnet
PLAUR,ATM,scMLnet
PLAUR,HAX1,scMLnet
PLAUR,RELB,scMLnet
PLAUR,FOXP2,scMLnet
PLAUR,IRF5,scMLnet
PLAUR,MDM2,scMLnet
PLAUR,ETS1,scMLnet
PLAUR,STAT3,scMLnet
PLAUR,CHD4,scMLnet
PLAUR,ZBTB16,scMLnet
PLAUR,KLF6,scMLnet
PLAUR,PGR,scMLnet
PLAUR,REL,scMLnet
PLAUR,RELA,scMLnet
PLAUR,ZEB2,scMLnet
PLAUR,CEBPB,scMLnet
PLAUR,ETS2,scMLnet
PLAUR,BRCA1,scMLnet
PLAUR,AR,scMLnet
PLAUR,TBX3,scMLnet
PLAUR,ZEB1,scMLnet
PLAUR,SNAI2,scMLnet
PLAUR,CTNNB1,scMLnet
PLAUR,MYC,scMLnet
PLAUR,EGR1,scMLnet
PLAUR,SMAD4,scMLnet
PLAUR,HIF1A,scMLnet
PLAUR,ENO1,scMLnet
PLAUR,PPARG,scMLnet
PLAUR,FOXM1,scMLnet
KIR2DL4,NR0B2,scMLnet
KIR2DL4,STAT5B,scMLnet
KIR2DL4,TBX21,scMLnet
KIR2DL4,RUNX3,scMLnet
KIR2DL4,IRF1,scMLnet
KIR2DL4,EOMES,scMLnet
KIR2DL4,TRAF6,scMLnet
KIR2DL4,FOXP3,scMLnet
KIR2DL4,ETV7,scMLnet
KIR2DL4,DNMT1,scMLnet
KIR2DL4,STAT5A,scMLnet
KIR2DL4,TFAP2A,scMLnet
KIR2DL4,SP3,scMLnet
FGFR3,PPARD,scMLnet
FGFR3,E2F1,scMLnet
FGFR3,NKX2-3,scMLnet
FGFR3,HEYL,scMLnet
FGFR3,HDGF,scMLnet
FGFR3,MAF,scMLnet
FGFR3,RUNX2,scMLnet
FGFR3,NR3C1,scMLnet
FGFR3,STAT2,scMLnet
FGFR3,WWP1,scMLnet
FGFR3,HOXA5,scMLnet
FGFR3,HAND2,scMLnet
FGFR3,PAX3,scMLnet
FGFR3,HHEX,scMLnet
FGFR3,HOXC8,scMLnet
FGFR3,SP7,scMLnet
FGFR3,HIC1,scMLnet
FGFR3,IRF9,scMLnet
FGFR3,MYBL2,scMLnet
FGFR3,FOXD3,scMLnet
FGFR3,ATRX,scMLnet
FGFR3,PAX2,scMLnet
FGFR3,SUPT3H,scMLnet
FGFR3,SP1,scMLnet
FGFR3,SIN3A,scMLnet
FGFR3,NANOG,scMLnet
FGFR3,SNAI1,scMLnet
FGFR3,SMAD3,scMLnet
FGFR3,FOXF1,scMLnet
FGFR3,SMAD2,scMLnet
FGFR3,ZIC1,scMLnet
FGFR3,ESR1,scMLnet
FGFR3,PBX1,scMLnet
FGFR3,ERCC2,scMLnet
FGFR3,NFIA,scMLnet
FGFR3,SF1,scMLnet
FGFR3,NR1H3,scMLnet
FGFR3,ATOH1,scMLnet
FGFR3,HOXB7,scMLnet
FGFR3,IRF4,scMLnet
FGFR3,GATA3,scMLnet
FGFR3,NR2F2,scMLnet
FGFR3,KLF4,scMLnet
FGFR3,WT1,scMLnet
FGFR3,YEATS4,scMLnet
FGFR3,ARID1A,scMLnet
FGFR3,PAX6,scMLnet
FGFR3,GLI3,scMLnet
FGFR3,STAT1,scMLnet
FGFR3,SATB2,scMLnet
FGFR3,STAT5B,scMLnet
FGFR3,MEF2C,scMLnet
FGFR3,TCF3,scMLnet
FGFR3,ID4,scMLnet
FGFR3,FOXL2,scMLnet
FGFR3,HOXA9,scMLnet
FGFR3,PIAS1,scMLnet
FGFR3,RUNX3,scMLnet
FGFR3,ATM,scMLnet
FGFR3,VHL,scMLnet
FGFR3,OTX2,scMLnet
FGFR3,MSX1,scMLnet
FGFR3,ABL1,scMLnet
FGFR3,SOX10,scMLnet
FGFR3,WHSC1,scMLnet
