complex,subunit,category
ITGAL&ITGB2,ITGAL,Ligand
ITGAL&ITGB2,ITGB2,Ligand
APP&BACE1,APP,Ligand
APP&BACE1,BACE1,Ligand
CGA&CGB5,CGA,Ligand
CGA&CGB5,CGB5,Ligand
S100A8&S100A9,S100A8,Ligand
S100A8&S100A9,S100A9,Ligand
EGFR&ERBB3,EGFR,Ligand
EGFR&ERBB3,ERBB3,Ligand
IL6ST&LIFR,IL6ST,Ligand
IL6ST&LIFR,LIFR,Ligand
IL6R&IL6ST,IL6R,Ligand
IL6R&IL6ST,IL6ST,Ligand
TLN1&VCL,TLN1,Ligand
TLN1&VCL,VCL,Ligand
APP&BACE1&PSEN1,APP,Ligand
APP&BACE1&PSEN1,BACE1,Ligand
APP&BACE1&PSEN1,PSEN1,Ligand
PIK3CA&PIK3R1,PIK3CA,Ligand
PIK3CA&PIK3R1,PIK3R1,Ligand
IFNGR1&IFNGR2,IFNGR1,Ligand
IFNGR1&IFNGR2,IFNGR2,Ligand
IFNAR1&IFNAR2,IFNAR1,Ligand
IFNAR1&IFNAR2,IFNAR2,Ligand
TLR2&TLR6,TLR2,Ligand
TLR2&TLR6,TLR6,Ligand
CDC37&HSP90AA1,CDC37,Ligand
CDC37&HSP90AA1,HSP90AA1,Ligand
MET&PLXNB1,MET,Ligand
MET&PLXNB1,PLXNB1,Ligand
MET&PLXNB3,MET,Ligand
MET&PLXNB3,PLXNB3,Ligand
ITGA2B&ITGB3,ITGA2B,Ligand
ITGA2B&ITGB3,ITGB3,Ligand
GP1BA&GP1BB&GP5&GP9,GP1BA,Ligand
GP1BA&GP1BB&GP5&GP9,GP1BB,Ligand
GP1BA&GP1BB&GP5&GP9,GP5,Ligand
GP1BA&GP1BB&GP5&GP9,GP9,Ligand
IL6ST&OSMR,IL6ST,Ligand
IL6ST&OSMR,OSMR,Ligand
IL12RB1&IL23R,IL12RB1,Ligand
IL12RB1&IL23R,IL23R,Ligand
CNTFR&IL6ST,CNTFR,Ligand
CNTFR&IL6ST,IL6ST,Ligand
JAK1&JAK2,JAK1,Ligand
JAK1&JAK2,JAK2,Ligand
LAMA1&LAMB1&LAMC1,LAMA1,Ligand
LAMA1&LAMB1&LAMC1,LAMB1,Ligand
LAMA1&LAMB1&LAMC1,LAMC1,Ligand
IL12B&IL23A,IL12B,Ligand
IL12B&IL23A,IL23A,Ligand
IL1R1&IL1RAP,IL1R1,Ligand
IL1R1&IL1RAP,IL1RAP,Ligand
ITGAM&ITGB2,ITGAM,Ligand
ITGAM&ITGB2,ITGB2,Ligand
ITGAX&ITGB2,ITGAX,Ligand
ITGAX&ITGB2,ITGB2,Ligand
LAMA5&LAMB1&LAMC1,LAMA5,Ligand
LAMA5&LAMB1&LAMC1,LAMB1,Ligand
LAMA5&LAMB1&LAMC1,LAMC1,Ligand
LAMA4&LAMB1&LAMC1,LAMA4,Ligand
LAMA4&LAMB1&LAMC1,LAMB1,Ligand
LAMA4&LAMB1&LAMC1,LAMC1,Ligand
LAMA3&LAMB3&LAMC2,LAMA3,Ligand
LAMA3&LAMB3&LAMC2,LAMB3,Ligand
LAMA3&LAMB3&LAMC2,LAMC2,Ligand
ITGA6&ITGB4,ITGA6,Ligand
ITGA6&ITGB4,ITGB4,Ligand
CALM1&CALM2&CALM3,CALM1,Ligand
CALM1&CALM2&CALM3,CALM2,Ligand
CALM1&CALM2&CALM3,CALM3,Ligand
DEFB4A&DEFB4B,DEFB4A,Ligand
DEFB4A&DEFB4B,DEFB4B,Ligand
IFNA1&IFNA13,IFNA1,Ligand
IFNA1&IFNA13,IFNA13,Ligand
CGA&FSHB,CGA,Ligand
CGA&FSHB,FSHB,Ligand
EBI3&IL27,EBI3,Ligand
EBI3&IL27,IL27,Ligand
IL12A&IL12B,IL12A,Ligand
IL12A&IL12B,IL12B,Ligand
IL17A&IL17F,IL17A,Ligand
IL17A&IL17F,IL17F,Ligand
CSH1&CSH2,CSH1,Ligand
CSH1&CSH2,CSH2,Ligand
CGA&LHB,CGA,Ligand
CGA&LHB,LHB,Ligand
CGA&TSHB,CGA,Ligand
CGA&TSHB,TSHB,Ligand
CGA&CGB3,CGA,Ligand
CGA&CGB3,CGB3,Ligand
ITGA9&ITGB1,ITGA9,Receptor
ITGA9&ITGB1,ITGB1,Receptor
ITGAV&ITGB8,ITGAV,Receptor
ITGAV&ITGB8,ITGB8,Receptor
ITGAV&ITGB3,ITGAV,Receptor
ITGAV&ITGB3,ITGB3,Receptor
ITGA6&ITGB1,ITGA6,Receptor
ITGA6&ITGB1,ITGB1,Receptor
ITGA8&ITGB1,ITGA8,Receptor
ITGA8&ITGB1,ITGB1,Receptor
ITGA7&ITGB1,ITGA7,Receptor
ITGA7&ITGB1,ITGB1,Receptor
ITGA3&ITGB1,ITGA3,Receptor
ITGA3&ITGB1,ITGB1,Receptor
ITGA2&ITGB1,ITGA2,Receptor
ITGA2&ITGB1,ITGB1,Receptor
CNTN1&CNTNAP1,CNTN1,Receptor
CNTN1&CNTNAP1,CNTNAP1,Receptor
ITGA6&ITGB4,ITGA6,Receptor
ITGA6&ITGB4,ITGB4,Receptor
ITGA2B&ITGB3,ITGA2B,Receptor
ITGA2B&ITGB3,ITGB3,Receptor
ITGAV&ITGB5,ITGAV,Receptor
ITGAV&ITGB5,ITGB5,Receptor
ITGAV&ITGB6,ITGAV,Receptor
ITGAV&ITGB6,ITGB6,Receptor
ITGA1&ITGB1,ITGA1,Receptor
ITGA1&ITGB1,ITGB1,Receptor
ITGAV&ITGB1,ITGAV,Receptor
ITGAV&ITGB1,ITGB1,Receptor
GP1BA&GP1BB&GP5&GP9,GP1BA,Receptor
GP1BA&GP1BB&GP5&GP9,GP1BB,Receptor
GP1BA&GP1BB&GP5&GP9,GP5,Receptor
GP1BA&GP1BB&GP5&GP9,GP9,Receptor
CD94&NKG2C,CD94,Receptor
CD94&NKG2C,NKG2C,Receptor
CD94&NKG2E,CD94,Receptor
CD94&NKG2E,NKG2E,Receptor
CD94&NKG2A,CD94,Receptor
CD94&NKG2A,NKG2A,Receptor
CD247&CD8,CD247,Receptor
CD247&CD8,CD8,Receptor
R2&TGFbR1,R2,Receptor
R2&TGFbR1,TGFbR1,Receptor
ACVR1C&ACVR2B&CFC1,ACVR1C,Receptor
ACVR1C&ACVR2B&CFC1,ACVR2B,Receptor
ACVR1C&ACVR2B&CFC1,CFC1,Receptor
ACVR2B&BMPR1B,ACVR2B,Receptor
ACVR2B&BMPR1B,BMPR1B,Receptor
ACVR2A&BMPR1B,ACVR2A,Receptor
ACVR2A&BMPR1B,BMPR1B,Receptor
ACVR2B&BMPR1A,ACVR2B,Receptor
ACVR2B&BMPR1A,BMPR1A,Receptor
ACVR2A&BMPR1A,ACVR2A,Receptor
ACVR2A&BMPR1A,BMPR1A,Receptor
ACVR1B&ACVR2B,ACVR1B,Receptor
ACVR1B&ACVR2B,ACVR2B,Receptor
ACVR1B&ACVR2A,ACVR1B,Receptor
ACVR1B&ACVR2A,ACVR2A,Receptor
ACVR1C&ACVR2A,ACVR1C,Receptor
ACVR1C&ACVR2A,ACVR2A,Receptor
ACVR1C&ACVR2B,ACVR1C,Receptor
ACVR1C&ACVR2B,ACVR2B,Receptor
IL17RA&IL17RC,IL17RA,Receptor
IL17RA&IL17RC,IL17RC,Receptor
IL12RB1&IL12RB2,IL12RB1,Receptor
IL12RB1&IL12RB2,IL12RB2,Receptor
ACVR1C&TGFbR2,ACVR1C,Receptor
ACVR1C&TGFbR2,TGFbR2,Receptor
ACVR1B&TGFbR2,ACVR1B,Receptor
ACVR1B&TGFbR2,TGFbR2,Receptor
NRP1&NRP2,NRP1,Receptor
NRP1&NRP2,NRP2,Receptor
ACVR1&TGFbR,ACVR1,Receptor
ACVR1&TGFbR,TGFbR,Receptor
CNTFR&LIFR,CNTFR,Receptor
CNTFR&LIFR,LIFR,Receptor
IFNAR1&IFNAR2,IFNAR1,Receptor
IFNAR1&IFNAR2,IFNAR2,Receptor
FPR2&LXA4,FPR2,Receptor
FPR2&LXA4,LXA4,Receptor
GRIK1&GRIK4,GRIK1,Receptor
GRIK1&GRIK4,GRIK4,Receptor
GRIN1&GRIN2D,GRIN1,Receptor
GRIN1&GRIN2D,GRIN2D,Receptor
GRIK1&GRIK5,GRIK1,Receptor
GRIK1&GRIK5,GRIK5,Receptor
HTR3A&HTR3B&HTR3C&HTR3D&HTR3E,HTR3A,Receptor
HTR3A&HTR3B&HTR3C&HTR3D&HTR3E,HTR3B,Receptor
HTR3A&HTR3B&HTR3C&HTR3D&HTR3E,HTR3C,Receptor
HTR3A&HTR3B&HTR3C&HTR3D&HTR3E,HTR3D,Receptor
HTR3A&HTR3B&HTR3C&HTR3D&HTR3E,HTR3E,Receptor
GRIN1&GRIN2A,GRIN1,Receptor
GRIN1&GRIN2A,GRIN2A,Receptor
GRIK3&GRIK5,GRIK3,Receptor
GRIK3&GRIK5,GRIK5,Receptor
GRIK2&GRIK5,GRIK2,Receptor
GRIK2&GRIK5,GRIK5,Receptor
GRIK2&GRIK4,GRIK2,Receptor
GRIK2&GRIK4,GRIK4,Receptor
GRIN1&GRIN2C,GRIN1,Receptor
GRIN1&GRIN2C,GRIN2C,Receptor
GRIK3&GRIK4,GRIK3,Receptor
GRIK3&GRIK4,GRIK4,Receptor
GRIN1&GRIN2B,GRIN1,Receptor
GRIN1&GRIN2B,GRIN2B,Receptor
GLRA1&GLRB,GLRA1,Receptor
GLRA1&GLRB,GLRB,Receptor
GABRA1&GABRB2&GABRD,GABRA1,Receptor
GABRA1&GABRB2&GABRD,GABRB2,Receptor
GABRA1&GABRB2&GABRD,GABRD,Receptor
