complex,category,subunit
IFNAR1&IFNAR2,Receptor,IFNAR2
IFNGR1&IFNGR2,Receptor,IFNGR1
IFNGR1&IFNGR2,Receptor,IFNGR2
IL1R1&IL1RAP,Receptor,IL1R1
IL1R1&IL1RAP,Receptor,IL1RAP
IL1R2&IL1RAP,Receptor,IL1R2
IL1R2&IL1RAP,Receptor,IL1RAP
AMHR2&BMPR1B,Receptor,AMHR2
AMHR2&BMPR1B,Receptor,BMPR1B
AMHR2&BMPR1A,Receptor,AMHR2
AMHR2&BMPR1A,Receptor,BMPR1A
ACVR1&AMHR2,Receptor,ACVR1
ACVR1&AMHR2,Receptor,AMHR2
CSF2RA&CSF2RB,Receptor,CSF2RA
CSF2RA&CSF2RB,Receptor,CSF2RB
IL2RG&IL4R,Receptor,IL2RG
IL2RG&IL4R,Receptor,IL4R
IL13&IL13RA1&IL4R,Receptor,IL13
IL13&IL13RA1&IL4R,Receptor,IL13RA1
IL13&IL13RA1&IL4R,Receptor,IL4R
IL13RA1&IL4R,Receptor,IL13RA1
IL13RA1&IL4R,Receptor,IL4R
IL13RA2&IL4R,Receptor,IL13RA2
IL13RA2&IL4R,Receptor,IL4R
CSF2RB&IL5RA,Receptor,CSF2RB
CSF2RB&IL5RA,Receptor,IL5RA
IL6R&IL6ST,Receptor,IL6R
IL6R&IL6ST,Receptor,IL6ST
CALCRL&RAMP1,Receptor,CALCRL
CALCRL&RAMP1,Receptor,RAMP1
CALCRL&RAMP2,Receptor,CALCRL
CALCRL&RAMP2,Receptor,RAMP2
CALCRL&RAMP3,Receptor,CALCRL
CALCRL&RAMP3,Receptor,RAMP3
CSF2RB&IL3RA,Receptor,CSF2RB
CSF2RB&IL3RA,Receptor,IL3RA
IL2RG&IL7R,Receptor,IL2RG
IL2RG&IL7R,Receptor,IL7R
IL6ST&LIFR,Receptor,IL6ST
IL6ST&LIFR,Receptor,LIFR
IL6ST&OSMR,Receptor,IL6ST
IL6ST&OSMR,Receptor,OSMR
CD44&CD74,Receptor,CD44
CD44&CD74,Receptor,CD74
CD74&CXCR2,Receptor,CD74
CD74&CXCR2,Receptor,CXCR2
CD74&CXCR4,Receptor,CD74
CD74&CXCR4,Receptor,CXCR4
IL2RG&IL9R,Receptor,IL2RG
IL2RG&IL9R,Receptor,IL9R
FLT1&KDR,Receptor,FLT1
FLT1&KDR,Receptor,KDR
